Course Name,Partner,Difficulty Level
"Generative AI with Large Language Models","DeepLearning.AI","INTERMEDIATE"
"Generative AI Assistants","Vanderbilt University","BEGINNER"
"Generative AI Automation","Vanderbilt University","BEGINNER"
"IBM Product Owner","IBM","BEGINNER"
"Generative AI Strategic Leader","Vanderbilt University","BEGINNER"
"AI Agents and Agentic AI in Python: Powered by Generative AI","Vanderbilt University","BEGINNER"
"Prompt Engineering","Vanderbilt University","BEGINNER"
"ChatGPT: Master Free AI Tools to Supercharge Productivity","Vanderbilt University","BEGINNER"
"Maximize Productivity With AI Tools","Google","BEGINNER"
"Technical Support Fundamentals","Google","BEGINNER"
"IBM Full-Stack JavaScript Developer","IBM","BEGINNER"
"Generative AI Data Analyst","Vanderbilt University","BEGINNER"
"IBM IT Project Manager","IBM","BEGINNER"
"Prompt Engineering for Law","Vanderbilt University","BEGINNER"
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier","Vanderbilt University","BEGINNER"
"Generative AI Cybersecurity & Privacy for Leaders","Vanderbilt University","BEGINNER"
"IBM JavaScript Backend","IBM","BEGINNER"
"Intuit Academy Bookkeeping","Intuit","BEGINNER"
"Generative AI Leadership & Strategy","Vanderbilt University","BEGINNER"
"IBM Product Manager","IBM","BEGINNER"
"Microsoft AI Product Manager","Microsoft","BEGINNER"
"IBM Java Developer","IBM","BEGINNER"
"IBM iOS and Android Mobile App Developer","IBM","BEGINNER"
"Introduction to Generative AI Learning Path","Google Cloud","INTERMEDIATE"
"IBM Front-End Developer","IBM","BEGINNER"
"RAG for Generative AI Applications","IBM","INTERMEDIATE"
"Crafting User-First Product Experiences in the AI Era","Microsoft","BEGINNER"
"Prompt Engineering for Educators","Vanderbilt University","BEGINNER"
"Generative AI and ChatGPT for K-12 Educators","Vanderbilt University","BEGINNER"
"Start Writing Prompts like a Pro","Google","BEGINNER"
"Generative AI HR Professional","Vanderbilt University","BEGINNER"
"ChatGPT + Excel: AI-Enhanced Data Analysis & Insight","Vanderbilt University","BEGINNER"
"ChatGPT for Project Management - Leveraging AI for Success","Vanderbilt University","BEGINNER"
"Business and Financial Modeling","University of Pennsylvania","BEGINNER"
"Generative AI SQL Database Specialist with ChatGPT","Vanderbilt University","INTERMEDIATE"
"ChatGPT + Zapier: AI-Powered Email Mastery","Vanderbilt University","BEGINNER"
"IBM IT Scrum Master","IBM","BEGINNER"
"AI Agents in Java with Generative AI","Vanderbilt University","BEGINNER"
"Foundations of Digital Marketing and E-commerce","Google","BEGINNER"
"Introduction to Psychology ","Yale University","BEGINNER"
"Excel Skills for Business","Macquarie University","BEGINNER"
"Discover the Art of Prompting","Google","BEGINNER"
"IBM Cybersecurity Analyst","IBM","BEGINNER"
"Become a CBRS Certified Professional Installer by Google","Google - Spectrum Sharing","MIXED"
"Project Initiation: Starting a Successful Project","Google","BEGINNER"
"Adobe Graphic Designer","Adobe","BEGINNER"
"Arizona State University TESOL","Arizona State University","BEGINNER"
"Master Microsoft Office 365 and Power Platform","Microsoft","BEGINNER"
"Writing in the Sciences","Stanford University","BEGINNER"
"Ask Questions to Make Data-Driven Decisions","Google","BEGINNER"
"Generative AI Engineering with LLMs","IBM","INTERMEDIATE"
"Use AI Responsibly","Google","BEGINNER"
"Microsoft 365 Essentials: Create, Collaborate, and Deliver","Microsoft","BEGINNER"
"Meta Web Development Fundamentals","Meta","BEGINNER"
"Microsoft 365 Fundamentals","Microsoft","BEGINNER"
"Adobe Content Creator","Adobe","BEGINNER"
"Adobe Marketing Specialist","Adobe","BEGINNER"
"Meta React Native","Meta","BEGINNER"
"Play It Safe: Manage Security Risks","Google","BEGINNER"
"Stay Ahead of the AI Curve","Google","BEGINNER"
"Foundations of User Experience (UX) Design","Google","BEGINNER"
"IBM Data Architecture","IBM","BEGINNER"
"IBM Systems Analyst","IBM","BEGINNER"
"BI Foundations with SQL, ETL and Data Warehousing","IBM","BEGINNER"
"Advanced Learning Algorithms","DeepLearning.AI","BEGINNER"
"HRCI Human Resource Associate","HRCI","BEGINNER"
"AI Python for Beginners","DeepLearning.AI","BEGINNER"
"Introduction to Statistics","Stanford University","BEGINNER"
"Fast Prototyping of GenAI Apps with Streamlit","DeepLearning.AI","INTERMEDIATE"
"IBM Data Warehouse Engineer","IBM","BEGINNER"
"Accelerate Your Job Search with AI","Google","BEGINNER"
"First Step Korean","Yonsei University","BEGINNER"
"IBM IT Support","IBM","BEGINNER"
"Design Prompts for Everyday Work Tasks","Google","BEGINNER"
"Data Analysis and Presentation Skills: the PwC Approach","PwC","BEGINNER"
"DeepLearning.AI Data Engineering","DeepLearning.AI","INTERMEDIATE"
"TESOL Certificate, Part 1: Teach English Now!","Arizona State University","BEGINNER"
"AI-Enhanced Data Analysis: From Raw Data to Deep Insights","Microsoft","INTERMEDIATE"
"Getting started with Google Workspace","Google Cloud","BEGINNER"
"Foundations of Positive Psychology","University of Pennsylvania","BEGINNER"
"Information Technology (IT) and Cloud Fundamentals","IBM","BEGINNER"
"Microsoft Business Analyst","Microsoft","BEGINNER"
"Generative AI for Software Development","DeepLearning.AI","BEGINNER"
"The Bits and Bytes of Computer Networking","Google","BEGINNER"
"Microsoft Excel","Microsoft","BEGINNER"
"IBM Project Manager","IBM","BEGINNER"
"Meta Android Developer","Meta","BEGINNER"
"Meta iOS Developer","Meta","BEGINNER"
"DevOps, Cloud, and Agile Foundations","IBM","BEGINNER"
"DeepLearning.AI Data Analytics","DeepLearning.AI","BEGINNER"
"SAP Technology Consultant","SAP","BEGINNER"
"Cybersecurity Fundamentals","IBM","BEGINNER"
"Neural Networks and Deep Learning","DeepLearning.AI","INTERMEDIATE"
"Meta Back-End Developer","Meta","BEGINNER"
"Business Analytics","University of Pennsylvania","BEGINNER"
"Introduction to Healthcare","Stanford University","BEGINNER"
"Natural Language Processing","DeepLearning.AI","INTERMEDIATE"
"Speed Up Data Analysis and Presentation Building","Google","BEGINNER"
"The Science of Well-Being","Yale University","MIXED"
"IBM Applied DevOps Engineering","IBM","INTERMEDIATE"
"Meta Marketing Analytics","Meta","BEGINNER"
"IBM Deep Learning with PyTorch, Keras and Tensorflow","IBM","INTERMEDIATE"
"Certified in Cybersecurity","ISC2","BEGINNER"
"Fintech: Foundations & Applications of Financial Technology","University of Pennsylvania","BEGINNER"
"Project Planning: Putting It All Together","Google","BEGINNER"
"Supply Chain Management","Rutgers the State University of New Jersey","BEGINNER"
"Connect and Protect: Networks and Network Security","Google","BEGINNER"
"DeepLearning.AI TensorFlow Developer","DeepLearning.AI","INTERMEDIATE"
"Regulatory Compliance","University of Pennsylvania","INTERMEDIATE"
"Learning How to Learn: Powerful mental tools to help you master tough subjects","Deep Teaching Solutions","BEGINNER"
"Prepare Data for Exploration","Google","BEGINNER"
"Construction Management","Columbia University","BEGINNER"
"Product Management Certification","SkillUp","BEGINNER"
"Microsoft Python Development","Microsoft","BEGINNER"
"Graphic Design","California Institute of the Arts","BEGINNER"
"Improve Your English Communication Skills","Georgia Institute of Technology","BEGINNER"
"ADP Entry-Level Payroll Specialist","Automatic Data Processing, Inc. (ADP)","BEGINNER"
"Business Strategy","University of Virginia","BEGINNER"
"Digital Product Management","University of Virginia","BEGINNER"
"Use AI as a Creative or Expert Partner","Google","BEGINNER"
"Vibe Coding Essentials - Build Apps with AI","Scrimba","BEGINNER"
"Workday Basics Series","Workday","BEGINNER"
"Meta Database Engineer","Meta","BEGINNER"
"Psychological First Aid","Johns Hopkins University","MIXED"
"Cloud Application Development Foundations","IBM","BEGINNER"
"Microsoft Cloud Support Associate","Microsoft","BEGINNER"
"Microsoft Project Management","Microsoft","BEGINNER"
"Microsoft IT Support Specialist","Microsoft","BEGINNER"
"Attract and Engage Customers with Digital Marketing","Google","BEGINNER"
"Epic Games Game Design","Epic Games","BEGINNER"
"Mergers and Acquisitions","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Private Equity and Venture Capital","Università Bocconi","MIXED"
"Leading the Modern Day Business","University of Virginia","BEGINNER"
"Preparing for Google Cloud Certification: Cloud Architect","Google Cloud","INTERMEDIATE"
"Medical Billing and Coding Fundamentals","MedCerts","BEGINNER"
"Preparing for Google Cloud Certification: Cloud Engineer","Google Cloud","INTERMEDIATE"
"Modern Project Management with Microsoft Tools","Microsoft","BEGINNER"
"Architecting with Google Compute Engine","Google Cloud","INTERMEDIATE"
"AI for Medicine","DeepLearning.AI","INTERMEDIATE"
"Stanford Introduction to Food and Health","Stanford University","BEGINNER"
"Meta Data Analyst","Meta","BEGINNER"
"Learn SQL Basics for Data Science","University of California, Davis","BEGINNER"
"AI Product Management","Duke University","BEGINNER"
"Entrepreneurship","University of Pennsylvania","BEGINNER"
"Introduction to Programming with Python and Java","University of Pennsylvania","BEGINNER"
"Mathematics for Machine Learning","Imperial College London","BEGINNER"
"Unlock Business Insights with Microsoft Excel and Power BI","Microsoft","BEGINNER"
"AI Fundamentals for Non-Data Scientists","University of Pennsylvania","MIXED"
"AWS Cloud Technology Consultant","Amazon Web Services","BEGINNER"
"Pharmacy Technician Fundamentals","MedCerts","BEGINNER"
"Prompt Engineering for ChatGPT","Vanderbilt University","BEGINNER"
"Building AI Agents and Agentic Workflows","IBM","INTERMEDIATE"
"Start the UX Design Process: Empathize, Define, and Ideate","Google","BEGINNER"
"Linear Algebra for Machine Learning and Data Science","DeepLearning.AI","INTERMEDIATE"
"Foundations of Management","IESE Business School","BEGINNER"
"Project Execution: Running the Project","Google","BEGINNER"
"Amazon Junior Software Developer","Amazon","BEGINNER"
"Unsupervised Learning, Recommenders, Reinforcement Learning","DeepLearning.AI","BEGINNER"
"Tools of the Trade: Linux and SQL","Google","BEGINNER"
"Think like a CFO","IESE Business School","BEGINNER"
"Agile Project Management","Google","BEGINNER"
"AWS Cloud Support Associate","Amazon Web Services","BEGINNER"
"Process Data from Dirty to Clean","Google","BEGINNER"
"Generative AI in Adobe Creative Cloud","Adobe","BEGINNER"
"AWS Cloud Solutions Architect","Amazon Web Services","INTERMEDIATE"
"Preparing for Google Cloud Certification: Cloud DevOps Engineer","Google Cloud","BEGINNER"
"Preparing for Google Cloud Certification: Cloud Developer","Google Cloud","INTERMEDIATE"
"Nursing Assistant Fundamentals","MedCerts","BEGINNER"
"Programming for Everybody (Getting Started with Python)","University of Michigan","BEGINNER"
"IT Fundamentals for Cybersecurity","IBM","BEGINNER"
"IBM UI/UX Designer","IBM","BEGINNER"
"Meta React","Meta","INTERMEDIATE"
"Microsoft Power BI and Power Platform for Productivity","Microsoft","BEGINNER"
"Preparing for Google Cloud Certification: Cloud Security Engineer","Google Cloud","INTERMEDIATE"
"Modern and Contemporary Art and Design","The Museum of Modern Art","BEGINNER"
"IBM Program Manager","IBM","BEGINNER"
"Methods and Statistics in Social Sciences","University of Amsterdam","BEGINNER"
"Medical Terminology","Rice University","BEGINNER"
"Preparing for Google Cloud Certification: Machine Learning Engineer","Google Cloud","INTERMEDIATE"
"NASM Personal Fitness Trainer","National Academy of Sports Medicine","BEGINNER"
"AWS Fundamentals","Amazon Web Services","BEGINNER"
"Human Resource Management: HR for People Managers","University of Minnesota","BEGINNER"
"Machine Learning in Production","DeepLearning.AI","INTERMEDIATE"
"Preparatory Certificate in Finance and Financial Markets","Corporate Finance Institute","BEGINNER"
"TESOL Certificate, Part 2: Teach English Now!","Arizona State University","BEGINNER"
"Google Cloud Database Engineer","Google Cloud","INTERMEDIATE"
"Preparing for Google Cloud Certification: Cloud Network Engineer","Google Cloud","INTERMEDIATE"
"Operating Systems and You: Becoming a Power User","Google","BEGINNER"
"Google Cloud Digital Leader Training","Google Cloud","BEGINNER"
"Instructional Design Foundations and Applications","University of Illinois Urbana-Champaign","MIXED"
"Global Diplomacy – Diplomacy in the Modern World","University of London","MIXED"
"Genomic Data Science","Johns Hopkins University","INTERMEDIATE"
"Digital Marketing","University of Illinois Urbana-Champaign","BEGINNER"
"Search Engine Optimization (SEO)","University of California, Davis","BEGINNER"
"Algorithms","Stanford University","INTERMEDIATE"
"Strategic Leadership and Management","University of Illinois Urbana-Champaign","BEGINNER"
"Introduction to Systematic Review and Meta-Analysis","Johns Hopkins University","MIXED"
"Bookkeeping Basics","Intuit","BEGINNER"
"Reinforcement Learning","University of Alberta","INTERMEDIATE"
"IBM Machine Learning","IBM","INTERMEDIATE"
"Microsoft Cybersecurity Analyst","Microsoft","BEGINNER"
"Medical Neuroscience","Duke University","ADVANCED"
"Security in Google Cloud","Google Cloud","INTERMEDIATE"
"Management of Fashion and Luxury Companies","Università Bocconi","MIXED"
"The Business of Health Care","University of Pennsylvania","BEGINNER"
"Clinical Trials: Good Clinical Practice","Novartis","BEGINNER"
"Generative AI for Web Development","Scrimba","INTERMEDIATE"
"Microsoft Full-Stack Developer","Microsoft","BEGINNER"
"Financial Engineering and Risk Management","Columbia University","INTERMEDIATE"
"AAPC Medical Biller","AAPC","BEGINNER"
"Salesforce Sales Operations","Salesforce","BEGINNER"
"Six Sigma Green Belt","Kennesaw State University","INTERMEDIATE"
"Analyze Data to Answer Questions","Google","BEGINNER"
"Intellectual Property Law","University of Pennsylvania","INTERMEDIATE"
"Game Theory","Stanford University","BEGINNER"
"Renew your CBRS Professional Installer certification","Google - Spectrum Sharing","ADVANCED"
"Data Structures and Algorithms","University of California San Diego","INTERMEDIATE"
"Brand Management: Aligning Business, Brand and Behaviour","University of London","BEGINNER"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","DeepLearning.AI","INTERMEDIATE"
"Introduction to Cosmetic Science and Ingredients","Olay","BEGINNER"
"AI-Powered Content Marketing and Strategy","Adobe","BEGINNER"
"Six Sigma Yellow Belt","Kennesaw State University","BEGINNER"
"Crash Course on Python","Google","BEGINNER"
"Introduction to Mathematical Thinking","Stanford University","INTERMEDIATE"
"Google Agile Essentials","Google","BEGINNER"
"Risk Management","New York Institute of Finance","BEGINNER"
"Machine Learning on Google Cloud","Google Cloud","INTERMEDIATE"
"Generative AI for Educators & Teachers","Vanderbilt University","BEGINNER"
"Medical Office Procedures and Administration Fundamentals","MedCerts","BEGINNER"
"Geographic Information Systems  (GIS)","University of California, Davis","BEGINNER"
"Global Procurement and Sourcing","Rutgers the State University of New Jersey","BEGINNER"
"IBM Introduction to Machine Learning","IBM","INTERMEDIATE"
"Introduction to Financial Accounting","University of Pennsylvania","MIXED"
"Capstone: Applying Project Management in the Real World","Google","BEGINNER"
"Workday in Action Series","Workday","BEGINNER"
"AI Infrastructure and Operations Fundamentals","NVIDIA","BEGINNER"
"Data Analysis with R Programming","Google","BEGINNER"
"Meta Marketing Science Certification Prep","Meta","INTERMEDIATE"
"Python for Data Science, AI & Development","IBM","BEGINNER"
"Johns Hopkins Medical Office Manager","Johns Hopkins University","BEGINNER"
"Everyday Parenting: The ABCs of Child Rearing","Yale University","BEGINNER"
"Creative Design Tools: Adobe Photoshop, Illustrator, Acrobat","Adobe","BEGINNER"
"Microsoft SQL Server","Microsoft","BEGINNER"
"Career Success","University of California, Irvine","BEGINNER"
"Preparing for Google Cloud Certification: Cloud Data Engineer","Google Cloud","INTERMEDIATE"
"Share Data Through the Art of Visualization","Google","BEGINNER"
"Introduction to Engineering Mechanics","Georgia Institute of Technology","MIXED"
"Introductory Human Physiology","Duke University","BEGINNER"
"Academic English: Writing","University of California, Irvine","BEGINNER"
"Mental Health Care Fundamentals","MedCerts","BEGINNER"
"IBM Ethical Hacking with Open Source Tools","IBM","INTERMEDIATE"
"Clinical Trials Operations","Johns Hopkins University","BEGINNER"
"Psychology of Anxiety, Mood, Substance Use, and Addictive Behaviors","American Psychological Association","BEGINNER"
"Assets, Threats, and Vulnerabilities","Google","BEGINNER"
"Machine Learning: Theory and Hands-on Practice with Python","University of Colorado Boulder","INTERMEDIATE"
"Data Engineering, Big Data, and Machine Learning on GCP","Google Cloud","INTERMEDIATE"
"Cancer Biology","Johns Hopkins University","BEGINNER"
"Microsoft 365 Copilot for Leaders","Vanderbilt University","BEGINNER"
"Understanding the Brain: The Neurobiology of Everyday Life","The University of Chicago","BEGINNER"
"Microsoft AI & ML Engineering","Microsoft","INTERMEDIATE"
"Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)","Hebrew University of Jerusalem","MIXED"
"Investment Management","University of Geneva","BEGINNER"
"Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator","Yale University","MIXED"
"Creative Writing","Wesleyan University","BEGINNER"
" System Administration and IT Infrastructure Services","Google","BEGINNER"
"Introduction to Clinical Data","Stanford University","BEGINNER"
"Introduction to Philosophy","The University of Edinburgh","MIXED"
"Business Analytics with Excel: Elementary to Advanced","Johns Hopkins University","INTERMEDIATE"
"English for Career Development","University of Pennsylvania","MIXED"
"Certified Project Manager","SkillUp","BEGINNER"
"Project Management","University of Colorado Boulder","BEGINNER"
"Generative AI: Introduction and Applications","IBM","BEGINNER"
"From Likes to Leads: Interact with Customers Online","Google","BEGINNER"
"JavaScript Programming with React, Node & MongoDB","IBM","BEGINNER"
"Drug Development Product Management","University of California San Diego","BEGINNER"
"Successful Negotiation: Essential Strategies and Skills","University of Michigan","BEGINNER"
"SAP Business Analyst","SAP","BEGINNER"
"Artificial Intelligence in Marketing","University of Virginia","BEGINNER"
"Excel Skills for Business: Essentials","Macquarie University","BEGINNER"
"Preparing  Data for Analysis with Microsoft Excel","Microsoft","BEGINNER"
"Google Cloud Data Analytics","Google Cloud","BEGINNER"
"Python 3 Programming","University of Michigan","BEGINNER"
"Microsoft Back-End Developer","Microsoft","BEGINNER"
"People and Soft Skills for Professional and Personal Success","IBM","BEGINNER"
"An Introduction to American Law","University of Pennsylvania","BEGINNER"
"The science of mind and decision making","University of Cambridge","BEGINNER"
"Étudier en France: French Intermediate course B1-B2","École Polytechnique","INTERMEDIATE"
"The Pronunciation of American English","University of California, Irvine","BEGINNER"
"Introduction to Social Media Marketing","Meta","BEGINNER"
"Leading People and Teams","University of Michigan","BEGINNER"
"Leadership Skills","IIMA - IIM Ahmedabad","BEGINNER"
"The Materiality of ESG Factors","University of Pennsylvania","BEGINNER"
"AI for Good","DeepLearning.AI","BEGINNER"
"Fundamentals of Quantitative Modeling","University of Pennsylvania","MIXED"
"Tableau Business Intelligence Analyst","Tableau Learning Partner","BEGINNER"
"Influencing: Storytelling, Change Management and Governance","Macquarie University","BEGINNER"
"Cryptography I","Stanford University","MIXED"
"Gemini for Google Workspace","Google Cloud","BEGINNER"
"PMI-PMP® Certification Training Course","LearnKartS","INTERMEDIATE"
"Anatomy","University of Michigan","BEGINNER"
"UI / UX Design","California Institute of the Arts","BEGINNER"
"Unilever Supply Chain Data Analyst","Unilever","BEGINNER"
"Creating Business Value with Data and Looker","Google Cloud","INTERMEDIATE"
"Enterprise Product Management Fundamentals","Microsoft","BEGINNER"
"Introduction to Data Analytics","IBM","BEGINNER"
"Introduction to Electronics","Georgia Institute of Technology","MIXED"
"Primeros Auxilios Psicológicos (PAP)","Universitat Autònoma de Barcelona","BEGINNER"
"Google Data Analytics Capstone: Complete a Case Study","Google","BEGINNER"
"Accounting 1","University of Lausanne","BEGINNER"
"IBM Digital Marketing and Growth Hacking","IBM","BEGINNER"
"Digital Transformation Using AI/ML with Google Cloud","Google Cloud","BEGINNER"
"Building Diverse, Inclusive, and Safe Workplaces","Coursera Instructor Network","BEGINNER"
"Social Psychology","Wesleyan University","BEGINNER"
"Agile Development","University of Virginia","BEGINNER"
"Sound the Alarm: Detection and Response","Google","BEGINNER"
"Introduction to Forensic Science","Nanyang Technological University, Singapore","MIXED"
"TensorFlow: Advanced Techniques","DeepLearning.AI","INTERMEDIATE"
"International Humanitarian Law in Theory and Practice ","Universiteit Leiden","BEGINNER"
"Google Professional Workspace Administrator","Google Cloud","BEGINNER"
"Introduction to Artificial Intelligence (AI)","IBM","BEGINNER"
"AI & Law ","Lund University","BEGINNER"
"Data Science","Johns Hopkins University","BEGINNER"
"Dino 101: Dinosaur Paleobiology","University of Alberta","BEGINNER"
"Financial Analysis - Skills for Success","University of Illinois Urbana-Champaign","BEGINNER"
"Convolutional Neural Networks","DeepLearning.AI","INTERMEDIATE"
"Structuring Machine Learning Projects","DeepLearning.AI","BEGINNER"
"Work Smarter with Microsoft Word","Microsoft","BEGINNER"
"Project Management & Other Tools for Career Development","University of California, Irvine","BEGINNER"
"Contabilidad para no contadores ","Universidad Nacional Autónoma de México","BEGINNER"
"Introduction to Marketing","University of Pennsylvania","MIXED"
"Management Consulting","Emory University","BEGINNER"
"Introduction to English Common Law","University of London","BEGINNER"
"The Business of Music Production","Berklee","BEGINNER"
"Write A Feature Length Screenplay For Film Or Television","Michigan State University","BEGINNER"
"Foundations of Data Science","Google","ADVANCED"
"Speak Freely, Think Critically: The Free Speech Balance Act","Deep Teaching Solutions","BEGINNER"
"Project Management Principles and Practices","University of California, Irvine","BEGINNER"
"Sequence Models","DeepLearning.AI","INTERMEDIATE"
"Marketing en redes sociales de Meta","Meta","BEGINNER"
"The Integration of Art and Science in Modern Dental Medicine","University of Pennsylvania","INTERMEDIATE"
"Applied Data Science with Python","University of Michigan","INTERMEDIATE"
"Achieving Personal and Professional Success","University of Pennsylvania","BEGINNER"
"Automate Cybersecurity Tasks with Python","Google","BEGINNER"
"Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers","HEC Paris","INTERMEDIATE"
"Data Analysis with R","Duke University","BEGINNER"
"Google Cloud Cybersecurity","Google Cloud","BEGINNER"
"Build Wireframes and Low-Fidelity Prototypes","Google","BEGINNER"
"Generative AI: Prompt Engineering Basics","IBM","BEGINNER"
"Financial Management","Duke University","BEGINNER"
"Business Data Management and Communication","University of Illinois Urbana-Champaign","INTERMEDIATE"
" IT Security: Defense against the digital dark arts ","Google","BEGINNER"
"Business Value and Project Management","University of Illinois Urbana-Champaign","BEGINNER"
"Introduction to Generative AI ","Google Cloud","BEGINNER"
"AWS Cloud Practitioner Essentials","Amazon Web Services","BEGINNER"
"Biostatistics in Public Health","Johns Hopkins University","BEGINNER"
"Excel Basics for Data Analysis","IBM","BEGINNER"
"Writing and Producing Music in Your Home Studio","Berklee","BEGINNER"
"PMP Exam Prep Certification Training","University of Maryland, College Park","BEGINNER"
"Data Science: Foundations using R","Johns Hopkins University","BEGINNER"
"The DIY Musician","Berklee","BEGINNER"
"Generative AI for Executives and Business Leaders","IBM","INTERMEDIATE"
"Understanding Research Methods","University of London","MIXED"
"ISC2 Systems Security Certified Practitioner (SSCP)","ISC2","BEGINNER"
"AI Applications in Marketing and Finance","University of Pennsylvania","MIXED"
"Financial Management","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Principles of Management","Johns Hopkins University","MIXED"
"Animal Behaviour and Welfare","The University of Edinburgh","MIXED"
"Principles of Financial Leadership","University of Cambridge","INTERMEDIATE"
"Health Informatics","Johns Hopkins University","BEGINNER"
"Introduction to Corporate Finance","University of Pennsylvania","MIXED"
"Connected Leadership","Yale University","INTERMEDIATE"
"Drug Development and Pharmacoepidemiology","Johns Hopkins University","INTERMEDIATE"
"Snowflake Data Engineering","Snowflake","BEGINNER"
"Human Resources Analytics","University of California, Irvine","MIXED"
"Design Fundamentals with AI","Adobe","BEGINNER"
"Vivre avec le TDAH à travers les âges","University of Geneva","BEGINNER"
"Fundamentals of Machine Learning for Healthcare","Stanford University","BEGINNER"
"Developing Mobile Apps with React Native","IBM","BEGINNER"
"AI For Everyone （すべての人のためのAIリテラシー講座）","DeepLearning.AI","BEGINNER"
"Moral Foundations of Politics ","Yale University","MIXED"
"Machine Learning for Trading","New York Institute of Finance","INTERMEDIATE"
"Social and Multimedia Content Creation","Adobe","BEGINNER"
"Security Analyst Fundamentals","IBM","BEGINNER"
"Become an EMT","University of Colorado System","BEGINNER"
"Agile with Atlassian Jira","Atlassian","BEGINNER"
"Content Creation for TikTok, YouTube, Instagram, Facebook","Coursera","BEGINNER"
"Music Production","Berklee","BEGINNER"
"C, Go, and C++: A Comprehensive Introduction to Programming","University of California, Santa Cruz","INTERMEDIATE"
"Coding for Everyone: C and C++","University of California, Santa Cruz","BEGINNER"
"Career Readiness & Leadership Skills in the Modern Workplace","Coursera Instructor Network","BEGINNER"
"Business Analyst (ECBA) Certificate Preparation ","SkillUp","INTERMEDIATE"
"Gen AI: Beyond the Chatbot","Google Cloud","BEGINNER"
